TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,22.3,1.3,6,0,15,0.1,H.264
6.37573E+13,22.6,1.6,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0.1,H.264
6.37573E+13,21.8,0.7,6,0.1,15,0,H.264
6.37573E+13,22.4,1.4,6,0,15,0,H.264
6.37573E+13,21.7,0.7,6,0,15,0.1,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0.1,H.264
6.37573E+13,22.8,1.8,6,0,15,0.2,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,22,1,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0.1,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22,1,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22.6,1.6,6,0,15,0.1,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,22.4,1.4,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,21.7,0.7,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,22.5,1.5,6,0,15,0,H.264
6.37573E+13,23.1,2,6,0.1,15,0.1,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0.2,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0.1,H.264
6.37573E+13,21.4,0.4,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,21.7,0.7,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,21.5,0.5,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0.1,H.264
6.37573E+13,21.5,0.5,6,0,15,0.1,H.264
6.37573E+13,22.6,1.6,6,0,15,0.1,H.264
6.37573E+13,22.1,1.1,6,0,15,0.1,H.264
6.37573E+13,22.1,1.1,6,0,15,0.3,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,22,1,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,22.8,1.8,6,0,15,0,H.264
6.37573E+13,22.6,1.6,6,0,15,0.1,H.264
6.37573E+13,22.1,1.1,6,0,15,0.1,H.264
6.37573E+13,22.1,1.1,6,0,15,0.1,H.264
6.37573E+13,22.4,1.4,6,0,15,0.1,H.264
6.37573E+13,21.9,0.9,6,0,15,0.1,H.264
6.37573E+13,22,1,6,0,15,0.1,H.264
6.37573E+13,22,1,6,0,15,0,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,22.2,1.2,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0.1,H.264
6.37573E+13,21.8,0.8,6,0,15,0.1,H.264
6.37573E+13,21.6,0.6,6,0,15,0.1,H.264
6.37573E+13,23,2,6,0,15,0,H.264
6.37573E+13,22.1,1.1,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,22.6,1.6,6,0,15,0,H.264
6.37573E+13,22.4,1.4,6,0,15,0.1,H.264
6.37573E+13,22.3,1.3,6,0,15,0,H.264
6.37573E+13,22.6,1.6,6,0,15,0.3,H.264
6.37573E+13,22.6,1.6,6,0,15,0.1,H.264
6.37573E+13,22.3,1.3,6,0,15,0.2,H.264
6.37573E+13,21.9,0.9,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,21.6,0.6,6,0,15,0,H.264
6.37573E+13,21.8,0.8,6,0,15,0.1,H.264
