TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,25.4,4.4,6,0,15,0,H.264
6.37573E+13,25,4,6,0,15,0,H.264
6.37573E+13,25,4,6,0,15,0,H.264
6.37573E+13,25.2,4.2,6,0,15,0,H.264
6.37573E+13,25.5,4.5,6,0,15,0.1,H.264
6.37573E+13,25.2,4.2,6,0,15,0,H.264
6.37573E+13,24.8,3.8,6,0,15,0.1,H.264
6.37573E+13,25,4,6,0,15,0,H.264
6.37573E+13,25.6,4.6,6,0,15,0,H.264
6.37573E+13,24.9,3.9,6,0,15,0,H.264
6.37573E+13,25.2,4.2,6,0,15,0,H.264
6.37573E+13,24.7,3.7,6,0,15,0,H.264
6.37573E+13,25.5,4.5,6,0,15,0,H.264
6.37573E+13,25.4,4.3,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,25,4,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,25,4,6,0,15,0.1,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,30.7,9.6,6,0.1,15,0,H.264
6.37573E+13,28.4,7.4,6,0,15,0,H.264
6.37573E+13,25,4,6,0,15,0,H.264
6.37573E+13,25.8,4.8,6,0,15,0,H.264
6.37573E+13,24.8,3.7,6,0,15,0.1,H.264
6.37573E+13,24.8,3.8,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0.2,H.264
6.37573E+13,25.5,4.5,6,0,15,0.1,H.264
6.37573E+13,25,4,6,0,15,0.1,H.264
6.37573E+13,25.2,4.1,6,0,15,0,H.264
6.37573E+13,25.3,4.3,6,0,15,0,H.264
6.37573E+13,25.4,4.4,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,24.8,3.8,6,0,15,0,H.264
6.37573E+13,25.3,4.3,6,0,15,0,H.264
6.37573E+13,25.1,4.1,6,0,15,0,H.264
6.37573E+13,25.9,4.9,6,0,15,0,H.264
6.37573E+13,25.3,4.3,6,0,15,0.1,H.264
6.37573E+13,25.3,4.2,6,0,15,0,H.264
6.37573E+13,25.5,4.5,6,0,15,0.1,H.264
6.37573E+13,25.4,4.4,6,0,15,0.1,H.264
6.37573E+13,24.8,3.8,6,0,15,0,H.264
6.37573E+13,25.5,4.5,6,0,15,0,H.264
6.37573E+13,25.2,4.2,6,0,15,0,H.264
6.37573E+13,25.2,4.1,6,0,15,0,H.264
6.37573E+13,24.8,3.8,6,0,15,0,H.264
6.37573E+13,25.5,4.5,6,0,15,0.1,H.264
6.37573E+13,25.3,4.3,6,0,15,0.2,H.264
6.37573E+13,25.2,4.2,6,0,15,0,H.264
6.37573E+13,24.8,3.8,6,0,15,0,H.264
6.37573E+13,25.3,4.3,6,0,15,0,H.264
6.37573E+13,24.9,3.9,6,0,15,0,H.264
6.37573E+13,25.4,4.3,6,0,15,0.1,H.264
