TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,33.8,12.8,6,0,15,9.2,AV1
6.37573E+13,32.8,11.8,6,0,15,7.4,AV1
6.37573E+13,34.6,13.6,6,0,15,9.4,AV1
6.37573E+13,32.7,11.7,6,0,15,7.5,AV1
6.37573E+13,34.5,13.5,6,0,15,9.2,AV1
6.37573E+13,33.8,12.8,6,0,15,8.8,AV1
6.37573E+13,34.8,13.8,6,0,15,9.6,AV1
6.37573E+13,33.3,12.3,6,0,15,8.5,AV1
6.37573E+13,34,13,6,0,15,8.8,AV1
6.37573E+13,33,12,6,0,15,8.1,AV1
6.37573E+13,35.7,14.7,6,0,15,9.9,AV1
6.37573E+13,33.2,12.2,6,0,15,8.5,AV1
6.37573E+13,34.2,13.2,6,0,15,9.6,AV1
6.37573E+13,33,12,6,0,15,8.1,AV1
6.37573E+13,33.5,12.5,6,0,15,8.7,AV1
6.37573E+13,33.5,12.4,6,0.1,15,8.5,AV1
6.37573E+13,33.5,12.5,6,0,15,8.3,AV1
6.37573E+13,31.2,10.2,6,0,15,5.8,AV1
6.37573E+13,31.4,10.4,6,0,15,6.3,AV1
6.37573E+13,30.1,9.1,6,0,15,5.4,AV1
6.37573E+13,32.1,11.1,6,0,15,7.2,AV1
6.37573E+13,31.4,10.4,6,0,15,5.9,AV1
6.37573E+13,32.3,11.2,6,0.1,15,7.2,AV1
6.37573E+13,30.3,9.3,6,0,15,5.1,AV1
6.37573E+13,32.1,11.1,6,0,15,6.7,AV1
6.37573E+13,30.2,9.2,6,0,15,5.5,AV1
6.37573E+13,31.7,10.7,6,0,15,6.9,AV1
6.37573E+13,30.2,9.2,6,0,15,5.3,AV1
6.37573E+13,31.6,10.6,6,0,15,6.5,AV1
6.37573E+13,31.3,10.3,6,0.1,15,6.5,AV1
6.37573E+13,31.5,10.5,6,0,15,5.3,AV1
6.37573E+13,30.3,9.3,6,0,15,5.8,AV1
6.37573E+13,30.4,9.4,6,0,15,5.3,AV1
6.37573E+13,30.4,9.4,6,0,15,6.1,AV1
6.37573E+13,32.2,11.2,6,0,15,4.5,AV1
6.37573E+13,31.6,10.6,6,0,15,5.7,AV1
6.37573E+13,29,8,6,0,15,3.9,AV1
6.37573E+13,30.8,9.8,6,0,15,6.1,AV1
6.37573E+13,29.3,8.3,6,0,15,4.3,AV1
6.37573E+13,32.1,11.1,6,0,15,7.4,AV1
6.37573E+13,30.2,9.2,6,0,15,4.8,AV1
6.37573E+13,31.5,10.5,6,0,15,6.8,AV1
6.37573E+13,30.6,9.6,6,0,15,5.4,AV1
6.37573E+13,27.7,6.7,6,0,15,2.7,AV1
6.37573E+13,28.2,7.2,6,0.1,15,3.3,AV1
6.37573E+13,28.1,7.1,6,0,15,3,AV1
6.37573E+13,28.6,7.6,6,0,15,3.7,AV1
6.37573E+13,27.5,6.5,6,0,15,2.4,AV1
6.37573E+13,28,6.9,6,0,15,3.3,AV1
6.37573E+13,27.9,6.9,6,0,15,2.8,AV1
6.37573E+13,29.8,8.8,6,0,15,5,AV1
6.37573E+13,28,7,6,0,15,2.8,AV1
6.37573E+13,30.7,9.7,6,0,15,6.1,AV1
6.37573E+13,28.8,7.8,6,0,15,4,AV1
6.37573E+13,29.8,8.8,6,0,15,4.1,AV1
6.37573E+13,30,9,6,0,15,4.6,AV1
6.37573E+13,28.5,7.5,6,0,15,3.4,AV1
6.37573E+13,29.1,8.1,6,0,15,4.6,AV1
6.37573E+13,28.5,7.5,6,0,15,3,AV1
6.37573E+13,29.1,8,6,0.1,15,4.3,AV1
6.37573E+13,28.5,7.5,6,0,15,3.2,AV1
6.37573E+13,29.2,8.2,6,0,15,4,AV1
6.37573E+13,27.8,6.8,6,0,15,3.1,AV1
6.37573E+13,29.6,8.6,6,0,15,4.6,AV1
6.37573E+13,32.1,11.1,6,0,15,6.9,AV1
6.37573E+13,32.4,11.4,6,0,15,6.8,AV1
6.37573E+13,33.5,12.4,6,0,15,8.2,AV1
6.37573E+13,31.4,10.3,6,0,15,6.8,AV1
6.37573E+13,32.8,11.8,6,0,15,8,AV1
6.37573E+13,32.2,11.2,6,0,15,6.9,AV1
6.37573E+13,32.3,11.3,6,0,15,6.8,AV1
6.37573E+13,30.9,9.9,6,0,15,5.1,AV1
6.37573E+13,31.2,10.2,6,0,15,6.6,AV1
6.37573E+13,27.2,6.2,6,0,15,0.6,AV1
6.37573E+13,25.2,4.2,6,0.1,15,0,AV1
6.37573E+13,25.1,4.1,6,0,15,0,AV1
6.37573E+13,24.9,3.9,6,0,15,0,AV1
6.37573E+13,25,4,6,0,15,0,AV1
6.37573E+13,25.1,4.1,6,0,15,0.1,AV1
