TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,21.4,0.4,6,0,15,0,AV1
6.37573E+13,22.3,1.2,6,0.1,15,0.1,AV1
6.37573E+13,28.2,7.2,6,0,15,3.1,AV1
6.37573E+13,24.8,3.8,6,0,15,2.4,AV1
6.37573E+13,24.5,3.5,6,0,15,2.9,AV1
6.37573E+13,29.9,8.9,6,0,15,3.5,AV1
6.37573E+13,27.6,6.6,6,0,15,4.9,AV1
6.37573E+13,26.7,5.7,6,0,15,4.8,AV1
6.37573E+13,27.2,6.2,6,0,15,5.1,AV1
6.37573E+13,26.3,5.2,6,0,15,4.9,AV1
6.37573E+13,26.8,5.7,6,0,15,4.5,AV1
6.37573E+13,26.3,5.3,6,0,15,4.1,AV1
6.37573E+13,27,6,6,0,15,5.2,AV1
6.37573E+13,27,6,6,0,15,5,AV1
6.37573E+13,26.8,5.8,6,0,15,5,AV1
6.37573E+13,26.2,5.2,6,0,15,4.5,AV1
6.37573E+13,26.6,5.6,6,0,15,5.2,AV1
6.37573E+13,26.6,5.6,6,0,15,4.4,AV1
6.37573E+13,27.6,6.6,6,0,15,5.7,AV1
6.37573E+13,28.4,7.4,6,0,15,6.7,AV1
6.37573E+13,28.5,7.5,6,0,15,6.3,AV1
6.37573E+13,30.1,9.1,6,0,15,7.9,AV1
6.37573E+13,29,8,6,0,15,7.1,AV1
6.37573E+13,30.5,9.5,6,0,15,8.6,AV1
6.37573E+13,28.6,7.6,6,0,15,6.4,AV1
6.37573E+13,29.4,8.4,6,0,15,7.3,AV1
6.37573E+13,28.4,7.4,6,0,15,6.2,AV1
6.37573E+13,28.7,7.7,6,0,15,6.9,AV1
6.37573E+13,25.5,4.5,6,0,15,3.7,AV1
6.37573E+13,26.4,5.4,6,0,15,4.9,AV1
6.37573E+13,25.6,4.6,6,0,15,4,AV1
6.37573E+13,27.1,6,6,0.1,15,4.5,AV1
6.37573E+13,25.8,4.8,6,0,15,3.9,AV1
6.37573E+13,26.2,5.2,6,0,15,4.8,AV1
6.37573E+13,25.8,4.8,6,0,15,4,AV1
6.37573E+13,28.8,7.3,6,0.6,15,5.9,AV1
6.37573E+13,24.2,3.2,6,0,15,2.4,AV1
6.37573E+13,25.7,4.7,6,0,15,3.5,AV1
6.37573E+13,23.9,2.9,6,0,15,2.3,AV1
6.37573E+13,24.9,3.9,6,0,15,3.4,AV1
6.37573E+13,24.3,3.3,6,0,15,2.2,AV1
6.37573E+13,25.2,4.2,6,0,15,3.4,AV1
6.37573E+13,24.8,3.8,6,0,15,2.8,AV1
6.37573E+13,25.4,4.4,6,0,15,3.6,AV1
6.37573E+13,26.7,5.7,6,0,15,5.1,AV1
6.37573E+13,26.8,5.7,6,0.1,15,4.9,AV1
6.37573E+13,27,6,6,0,15,5,AV1
6.37573E+13,26.6,5.6,6,0,15,4.7,AV1
6.37573E+13,27.1,6.1,6,0,15,5.5,AV1
6.37573E+13,26.1,5.1,6,0,15,3.9,AV1
6.37573E+13,27.4,6.4,6,0,15,5.9,AV1
6.37573E+13,27.9,6.9,6,0,15,4.6,AV1
6.37573E+13,28.5,7.5,6,0,15,6,AV1
6.37573E+13,26.9,5.9,6,0,15,4.9,AV1
6.37573E+13,27.6,6.6,6,0,15,6.1,AV1
6.37573E+13,28.1,7,6,0,15,5.8,AV1
6.37573E+13,27.9,6.9,6,0,15,6,AV1
6.37573E+13,28.8,7.8,6,0,15,7.6,AV1
6.37573E+13,27.2,6.2,6,0,15,5.1,AV1
6.37573E+13,29.3,8.3,6,0,15,7.2,AV1
6.37573E+13,28.1,7,6,0.1,15,5.8,AV1
6.37573E+13,29.3,8.3,6,0,15,7.2,AV1
6.37573E+13,27.9,6.9,6,0,15,5.9,AV1
6.37573E+13,29.2,8.2,6,0,15,7.1,AV1
6.37573E+13,27.8,6.8,6,0,15,6,AV1
6.37573E+13,30,9,6,0,15,7.2,AV1
6.37573E+13,27,6,6,0,15,5.7,AV1
6.37573E+13,28.8,7.8,6,0,15,6.8,AV1
6.37573E+13,27.6,6.6,6,0,15,6,AV1
6.37573E+13,28.9,7.9,6,0,15,6.5,AV1
6.37573E+13,30,9,6,0,15,7.8,AV1
6.37573E+13,29.4,8.4,6,0,15,7.6,AV1
6.37573E+13,31.6,10.6,6,0,15,9.3,AV1
6.37573E+13,28.5,7.5,6,0,15,6.7,AV1
6.37573E+13,30.1,9.1,6,0,15,8.4,AV1
6.37573E+13,30,9,6,0,15,7.9,AV1
6.37573E+13,29.9,8.9,6,0,15,8.5,AV1
6.37573E+13,29.3,8.3,6,0,15,7.6,AV1
6.37573E+13,31.4,10.4,6,0,15,9.6,AV1
6.37573E+13,30.5,9.5,6,0,15,8.3,AV1
6.37573E+13,30.9,9.9,6,0,15,8.7,AV1
6.37573E+13,30.4,9.4,6,0,15,8.7,AV1
6.37573E+13,31.5,10.5,6,0,15,9.7,AV1
6.37573E+13,30.9,9.9,6,0,15,8.5,AV1
6.37573E+13,30.7,9.7,6,0,15,8.5,AV1
6.37573E+13,31.3,10.3,6,0,15,9.3,AV1
6.37573E+13,28.1,7.1,6,0,15,6.3,AV1
6.37573E+13,29.4,8.4,6,0,15,7.6,AV1
6.37573E+13,26.9,5.9,6,0,15,5.4,AV1
6.37573E+13,29.8,8.7,6,0.1,15,7.9,AV1
6.37573E+13,28,7,6,0,15,6.2,AV1
6.37573E+13,29.4,8.4,6,0,15,7.3,AV1
6.37573E+13,26.8,5.8,6,0,15,4.8,AV1
6.37573E+13,28,7,6,0,15,7,AV1
6.37573E+13,28.1,7,6,0.1,15,5.3,AV1
6.37573E+13,28.3,7.3,6,0,15,6.1,AV1
6.37573E+13,26.8,5.8,6,0,15,5.1,AV1
6.37573E+13,28.2,7.2,6,0,15,6.7,AV1
6.37573E+13,27.5,6.5,6,0,15,5.5,AV1
6.37573E+13,29.7,8.7,6,0,15,7.5,AV1
